--- Demand Distribution ---
Demand    Prob      Cum Prob  Range          
2         0.25      0.25      1-25
3         0.25      0.50      26-50
4         0.25      0.75      51-75
5         0.25      1.00      76-100

--- Lead Time Distribution ---
Lead Time Prob      Cum Prob  Range          
2         0.25      0.25      1-25
3         0.25      0.50      26-50
4         0.25      0.75      51-75
5         0.25      1.00      76-100

--- Simulation Log ---
day          | begin_inv    | rd_demand    | demand       | end_inv      | backorder    | order_qty    | rd_lead      | lead_time    | days_until_arrival
247          | 0            | 48           | 3            | 0            | 501          | 0            | 0            | 0            | 0           
248          | 0            | 96           | 5            | 0            | 506          | 0            | 0            | 0            | 0           
249          | 0            | 31           | 3            | 0            | 509          | 0            | 0            | 0            | 0           
250          | 0            | 49           | 3            | 0            | 512          | 0            | 0            | 0            | 0           
251          | 0            | 51           | 4            | 0            | 516          | 0            | 0            | 0            | 0           
252          | 0            | 68           | 4            | 0            | 520          | 10           | 65           | 4            | 4           
253          | 0            | 26           | 3            | 0            | 523          | 0            | 0            | 0            | 3           
254          | 0            | 66           | 4            | 0            | 527          | 0            | 0            | 0            | 2           
255          | 0            | 8            | 2            | 0            | 529          | 0            | 0            | 0            | 1           
256          | 0            | 75           | 4            | 0            | 523          | 0            | 0            | 0            | 0           
257          | 0            | 76           | 5            | 0            | 528          | 0            | 0            | 0            | 0           
258          | 0            | 77           | 5            | 0            | 533          | 0            | 0            | 0            | 0           
259          | 0            | 36           | 3            | 0            | 536          | 10           | 8            | 2            | 2           
260          | 0            | 70           | 4            | 0            | 540          | 0            | 0            | 0            | 1           
261          | 0            | 33           | 3            | 0            | 533          | 0            | 0            | 0            | 0           
262          | 0            | 28           | 3            | 0            | 536          | 0            | 0            | 0            | 0           
263          | 0            | 50           | 3            | 0            | 539          | 0            | 0            | 0            | 0           
264          | 0            | 88           | 5            | 0            | 544          | 0            | 0            | 0            | 0           
265          | 0            | 48           | 3            | 0            | 547          | 0            | 0            | 0            | 0           
266          | 0            | 11           | 2            | 0            | 549          | 10           | 30           | 3            | 3           
267          | 0            | 14           | 2            | 0            | 551          | 0            | 0            | 0            | 2           
268          | 0            | 11           | 2            | 0            | 553          | 0            | 0            | 0            | 1           
269          | 0            | 71           | 4            | 0            | 547          | 0            | 0            | 0            | 0           
270          | 0            | 56           | 4            | 0            | 551          | 0            | 0            | 0            | 0           
271          | 0            | 93           | 5            | 0            | 556          | 0            | 0            | 0            | 0           
272          | 0            | 7            | 2            | 0            | 558          | 0            | 0            | 0            | 0           
273          | 0            | 26           | 3            | 0            | 561          | 10           | 78           | 5            | 5           
274          | 0            | 59           | 4            | 0            | 565          | 0            | 0            | 0            | 4           
275          | 0            | 87           | 5            | 0            | 570          | 0            | 0            | 0            | 3           
276          | 0            | 89           | 5            | 0            | 575          | 0            | 0            | 0            | 2           
277          | 0            | 91           | 5            | 0            | 580          | 0            | 0            | 0            | 1           
278          | 0            | 57           | 4            | 0            | 574          | 0            | 0            | 0            | 0           
279          | 0            | 44           | 3            | 0            | 577          | 0            | 0            | 0            | 0           
280          | 0            | 19           | 2            | 0            | 579          | 10           | 74           | 4            | 4           
281          | 0            | 44           | 3            | 0            | 582          | 0            | 0            | 0            | 3           
282          | 0            | 39           | 3            | 0            | 585          | 0            | 0            | 0            | 2           
283          | 0            | 45           | 3            | 0            | 588          | 0            | 0            | 0            | 1           
284          | 0            | 21           | 2            | 0            | 580          | 0            | 0            | 0            | 0           
285          | 0            | 31           | 3            | 0            | 583          | 0            | 0            | 0            | 0           
286          | 0            | 29           | 3            | 0            | 586          | 0            | 0            | 0            | 0           
287          | 0            | 100          | 5            | 0            | 591          | 10           | 59           | 4            | 4           
288          | 0            | 29           | 3            | 0            | 594          | 0            | 0            | 0            | 3           
289          | 0            | 5            | 2            | 0            | 596          | 0            | 0            | 0            | 2           
290          | 0            | 20           | 2            | 0            | 598          | 0            | 0            | 0            | 1           
291          | 0            | 91           | 5            | 0            | 593          | 0            | 0            | 0            | 0           
292          | 0            | 85           | 5            | 0            | 598          | 0            | 0            | 0            | 0           
293          | 0            | 90           | 5            | 0            | 603          | 0            | 0            | 0            | 0           
294          | 0            | 64           | 4            | 0            | 607          | 10           | 43           | 3            | 3           
